"STATISTIC","Statistic Label","TLIST(M1)","Month","C03113V05042","Driving Test Centre","UNIT","VALUE"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","133","Limerick - Woodview, Co. Limerick","Weeks","9"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","134","Limerick (Roxboro), Co. Limerick","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","135","Longford, Co. Longford","Weeks","18"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","136","Loughrea, Co. Galway","Weeks","13"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","137","Loughrea (Lough Rea Hotel & Spa), Co. Galway","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","138","Mallow, Co. Cork","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","139","Mallow (Cork Racecourse Mallow), Co. Cork","Weeks","14"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","140","Monaghan, Co. Monaghan","Weeks","15"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","141","Mulhuddart, Co. Dublin","Weeks","26"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","142","Mulhuddart (Carlton Hotel), Co. Dublin","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","143","Mulhuddart Maple House, Co. Dublin","Weeks","15"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","144","Mullingar, Co. Westmeath","Weeks","18"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","145","Naas, Co. Kildare","Weeks","24"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","146","Navan, Co. Meath","Weeks","16"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","147","Nenagh, Co. Tipperary","Weeks","16"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","148","Newcastle West, Co. Limerick","Weeks","15"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","149","Newcastle West (Longcourt House Hotel), Co. Limerick","Weeks","11"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","150","Portlaoise, Co. Laois","Weeks","17"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","151","Raheny, Co. Dublin","Weeks","15"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","152","Roscommon, Co. Roscommon","Weeks","14"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","153","Shannon, Co. Clare","Weeks","11"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","154","Skibbereen, Co. Cork","Weeks","14"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","155","Sligo, Co. Sligo","Weeks","9"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","156","Tallaght, Co. Dublin","Weeks","23"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","157","Thurles, Co. Tipperary","Weeks","12"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","158","Tipperary, Co. Tipperary","Weeks","11"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","159","Tralee, Co. Kerry","Weeks","13"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","160","Tralee (HGV's), Co. Kerry","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","161","Tuam, Co. Galway","Weeks","12"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","162","Tullamore, Co. Offaly","Weeks","15"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","163","Waterford, Co. Waterford","Weeks","13"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","164","Wexford, Co. Wexford","Weeks","16"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","165","Wicklow, Co. Wicklow","Weeks","16"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202404","2024 April","166","Portlaoise (Maldron Hotel), Co. Laois","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","-","All driving test centres","Weeks","15.6"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","100","Athlone, Co. Westmeath","Weeks","17"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","101","Ballina, Co. Mayo","Weeks","18"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","102","Birr, Co. Offaly","Weeks","17"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","103","Birr (County Arms Hotel), Co. Offaly","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","104","Buncrana, Co. Donegal","Weeks","18"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","105","Carlow, Co. Carlow","Weeks","11"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","106","Carlow Talbot Hotel, Co. Carlow","Weeks","15"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","107","Carrick On Shannon, Co. Leitrim","Weeks","14"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","108","Castlebar, Co. Mayo","Weeks","13"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","109","Cavan, Co. Cavan","Weeks","16"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","110","Charlestown (Dublin), Co. Dublin","Weeks","12"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","111","Clifden, Co. Galway","Weeks","15"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","112","Clonmel, Co. Tipperary","Weeks","20"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","113","Cork (Ballincollig), Co. Cork","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","114","Cork (St. Finbarr's GAA Club Togher), Co. Cork","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","115","Cork (Wilton), Co. Cork","Weeks","19"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","116","Donegal, Co. Donegal","Weeks","15"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","117","Drogheda, Co. Louth","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","118","Dun Laoghaire / Deansgrange, Co. Dublin","Weeks","30"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","119","Dundalk, Co. Louth","Weeks","14"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","120","Dungarvan, Co. Waterford","Weeks","17"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","121","Ennis, Co. Clare","Weeks","13"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","122","Finglas, Co. Dublin","Weeks","12"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","123","Galway (Carnmore), Co. Galway","Weeks","15"
