"STATISTIC","Statistic Label","TLIST(M1)","Month","C03113V05042","Driving Test Centre","UNIT","VALUE"
"ROA38C01","Driving Tester Distribution","202301","2023 January","-","All driving test centres","Number","145"
"ROA38C01","Driving Tester Distribution","202301","2023 January","100","Athlone, Co. Westmeath","Number","4"
"ROA38C01","Driving Tester Distribution","202301","2023 January","101","Ballina, Co. Mayo","Number","1"
"ROA38C01","Driving Tester Distribution","202301","2023 January","102","Birr, Co. Offaly","Number","1"
"ROA38C01","Driving Tester Distribution","202301","2023 January","103","Birr (County Arms Hotel), Co. Offaly","Number","0"
"ROA38C01","Driving Tester Distribution","202301","2023 January","104","Buncrana, Co. Donegal","Number","1"
"ROA38C01","Driving Tester Distribution","202301","2023 January","105","Carlow, Co. Carlow","Number","0"
"ROA38C01","Driving Tester Distribution","202301","2023 January","106","Carlow Talbot Hotel, Co. Carlow","Number","3"
"ROA38C01","Driving Tester Distribution","202301","2023 January","107","Carrick On Shannon, Co. Leitrim","Number","0"
"ROA38C01","Driving Tester Distribution","202301","2023 January","108","Castlebar, Co. Mayo","Number","3"
"ROA38C01","Driving Tester Distribution","202301","2023 January","109","Cavan, Co. Cavan","Number","2"
"ROA38C01","Driving Tester Distribution","202301","2023 January","110","Charlestown (Dublin), Co. Dublin","Number","1"
"ROA38C01","Driving Tester Distribution","202301","2023 January","111","Clifden, Co. Galway","Number","0"
"ROA38C01","Driving Tester Distribution","202301","2023 January","112","Clonmel, Co. Tipperary","Number","1"
"ROA38C01","Driving Tester Distribution","202301","2023 January","113","Cork (Ballincollig), Co. Cork","Number","0"
"ROA38C01","Driving Tester Distribution","202301","2023 January","114","Cork (St. Finbarr's GAA Club Togher), Co. Cork","Number","2"
"ROA38C01","Driving Tester Distribution","202301","2023 January","115","Cork (Wilton), Co. Cork","Number","10"
"ROA38C01","Driving Tester Distribution","202301","2023 January","116","Donegal, Co. Donegal","Number","1"
"ROA38C01","Driving Tester Distribution","202301","2023 January","117","Drogheda, Co. Louth","Number","0"
"ROA38C01","Driving Tester Distribution","202301","2023 January","118","Dun Laoghaire / Deansgrange, Co. Dublin","Number","5"
"ROA38C01","Driving Tester Distribution","202301","2023 January","119","Dundalk, Co. Louth","Number","5"
"ROA38C01","Driving Tester Distribution","202301","2023 January","120","Dungarvan, Co. Waterford","Number","1"
"ROA38C01","Driving Tester Distribution","202301","2023 January","121","Ennis, Co. Clare","Number","2"
"ROA38C01","Driving Tester Distribution","202301","2023 January","122","Finglas, Co. Dublin","Number","12"
"ROA38C01","Driving Tester Distribution","202301","2023 January","123","Galway (Carnmore), Co. Galway","Number","1"
"ROA38C01","Driving Tester Distribution","202301","2023 January","124","Galway (Westside), Co. Galway","Number","3"
"ROA38C01","Driving Tester Distribution","202301","2023 January","125","Gorey, Co. Wexford","Number","2"
"ROA38C01","Driving Tester Distribution","202301","2023 January","126","Kilkenny (Govt Buildings), Co. Kilkenny","Number","2"
"ROA38C01","Driving Tester Distribution","202301","2023 January","127","Kilkenny (O'Loughlin Gaels), Co. Kilkenny","Number","0"
"ROA38C01","Driving Tester Distribution","202301","2023 January","128","Killarney, Co. Kerry","Number","2"
